Dataset,Mean Accuracy,Std Accuracy,Mean Precision,Std Precision,Mean Recall,Std Recall,Mean F1 Score,Std F1 Score
Internet-Advertisements,0.9548664122137405,0.006937651415546641,0.9390285208006727,0.016389277457254887,0.7255852842809365,0.060739413944358896,0.8171131184187551,0.03508023052572371
churn,0.8832000000000001,0.006260990336999417,0.8623094552506319,0.077335455236159,0.20651283588053135,0.032303652737379014,0.3326811754086852,0.046722768741141556
climate-model-simulation-crashes,0.9185185185185185,0.010143010324169758,0.4333333333333333,0.43461349368017654,0.10666666666666666,0.1058767044406364,0.1706293706293706,0.16910935944270586
kc1,0.8231495761614751,0.013522414809185755,0.39153569473766514,0.07765154837335858,0.26037296037296037,0.07996085512161755,0.30919201443406263,0.07151843753470172
ozone-level-8hr,0.9352807727389669,0.004264874258075296,0.4633333333333334,0.09746794344808965,0.1625,0.0808886194096549,0.2328573749954134,0.10023393365522289
pc1,0.9260527495821614,0.00941267401172555,0.4441558441558441,0.1360354740277766,0.19416666666666665,0.06288768648241969,0.2654930254930255,0.07463355735068639
pc3,0.8873863357090194,0.009026098392719962,0.3643506493506493,0.13457555259299223,0.14375,0.06091746465505602,0.2049424623236554,0.08210675885690563
pc4,0.8895871581226757,0.015122521018671974,0.5797903850535429,0.0940448589492985,0.34857142857142853,0.07256893925656051,0.43418108647310677,0.08052319085385926
sick,0.9692465789519911,0.002186579641649668,0.8838133640552996,0.058573825890590736,0.5757631822386678,0.010893649386087993,0.6965285525285526,0.016387988797157662
wilt,0.9690029229020485,0.005261044337347199,0.9275335558027438,0.024692652342720924,0.46023222060957913,0.08925633054026959,0.6119307712338813,0.0855303978502052
